key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-397594214,"Sustainable Climate Mitigation Strategies: A System Dynamics Model to Measure the Use of Rain Barrels Per Household Buffalo, NY (USA)",2022,,,ProQuest Dissertations and Theses,9798351451879,,29327169,109,"Hwang, Sun Ho and Renschler, Chris",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fsustainable-climate-mitigation-strategies-system%2Fdocview%2F2716071465%2Fse-2%3Faccountid%3D10246,English,State University of New York at Buffalo     PP  - United States -- New York,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-10-07 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not forest,wrong population",,Green infrastructure;Rain barrel;Sustainability;Urban water management;System dynamics;Urban environment;Environmental studies;Geography;0477:Environmental Studies;0366:Geography;0640:Sustainability,,
rayyan-397594215,Anthropogenic Disturbance Regimes Impact the Microbial and Chemical Composition of Soils and Sediments Across Ecosystems,2022,,,ProQuest Dissertations and Theses,9798845456106,,29283583,167,"Martin, Gregory D. and Morrissey, Ember M. and Freedman, Zachary B. and Peterjohn, William T. and McDonald, Louis M. and Brzostek, Edward R.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fanthropogenic-disturbance-regimes-impact%2Fdocview%2F2714870149%2Fse-2%3Faccountid%3D10246,English,West Virginia University     PP  - United States -- West Virginia,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-09-28 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong population,not climate solution",,Nitrates;Stream water;Phylogenetics;Bacteria;Aggregates;Chemistry;Sediments;Biology;Aquatic ecosystems;Climate change;Nitrogen;Ecology;Agriculture;Herbivores;Carbon;Watersheds;Trees;Taxonomy;Land use;Terrestrial ecosystems;Forest & brush fires;Microorganisms;Urbanization;Ecosystem biology;Animal sciences;Aquatic sciences;Area planning & development;Genetics;Land use planning;Microbiology;Public policy;Sedimentary geology;Systematic biology;Urban planning;Water resources management;Wood sciences;0473:Agriculture;0306:Biology;0423:Systematic biology;0999:Urban planning;0746:Wood sciences;0536:Land Use Planning;0485:Chemistry;0475:Animal sciences;0410:Microbiology;0595:Water Resources Management;0341:Area Planning and Development;0329:Ecology;0792:Aquatic sciences;0630:Public policy;0404:Climate Change;0594:Sedimentary Geology;0369:Genetics,,
rayyan-397594217,Dimensions of Visitor Movement in Parks and Protected Areas: a Holistic Look at Alternative Transportation Systems and an Exploration of Informal Trail Networks,2022,,,ProQuest Dissertations and Theses,9798841757245,,29327816,158,"Spernbauer, Bettina and Smith, Jordan W. and Monz, Christopher A.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fdimensions-visitor-movement-parks-protected-areas%2Fdocview%2F2702506190%2Fse-2%3Faccountid%3D10246,English,Utah State University     PP  - United States -- Utah,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-09-28 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: not outcome,wrong outcome,not climate solution",,Alternative transportation;Informal trails;National parks;Recreation ecology;Recreation management;Sustainable transportation;Environmental studies;0477:Environmental Studies,,
rayyan-397594218,"Interactions Among Climate, Disturbance, and Forests Will Shape Future Landscapes",2022,,,ProQuest Dissertations and Theses,9798841529064,,29228627,290,"Robbins, Zachary James and Scheller, Robert",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Finteractions-among-climate-disturbance-forests%2Fdocview%2F2700375809%2Fse-2%3Faccountid%3D10246,English,North Carolina State University     PP  - United States -- North Carolina,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-08-23 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not urban,not climate solution",,Precipitation;Drought;Success;Carbon;Temperature;Calibration;Phenology;Eggs;Biomass;Forest & brush fires;Defense;Climate change;Prescribed fire;Adults;Markov analysis;Ecosystem biology;Biology;Ecology;Environmental management;Management;Operations research;0306:Biology;0329:Ecology;0454:Management;0474:Environmental management;0404:Climate Change;0796:Operations research;Trees,,
rayyan-397594219,"Predicting High-resolution Spatial and Temporal Variations in Summer air Temperatures and its Effect on Asthma and Myocardial Infarctions in Montreal, Canada",2021,,,ProQuest Dissertations and Theses,9798841565321,,29274169,86,"Onookome-Okome, Tuviere and Schmidt, Alexandra and Weichenthal, Scott Andrew",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fpredicting-high-resolution-spatial-temporal%2Fdocview%2F2700375654%2Fse-2%3Faccountid%3D10246,English,"McGill University (Canada)     PP  - Canada -- Quebec, CA",Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-10-13 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not outcome,wrong outcome",,Cardiovascular disease;Emergency medical care;Older people;Summer;Mortality;Chronic illnesses;Aging;Canadian studies;Gerontology;Health care management;Management;Medicine;Public health;0385:Canadian studies;0769:Health care management;0573:Public health;0454:Management;0351:Gerontology;0493:Aging;0564:Medicine;Canada;Myocardial Infarction;Asthma,,
rayyan-397594220,En Outnyttjad Resurs? En undersökning Om gröna Bibliotek Och Folkbibliotekets Roll i Klimatkrisen,2022,,,PQDT - Global,,,29425176,,"Axelsson, Emma and Norlén, Anne-Christine",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fen-outnyttjad-resurs-underso%CC%88kning-om-gro%CC%88na%2Fdocview%2F2699501744%2Fse-2%3Faccountid%3D10246,Swedish,Uppsala Universitet (Sweden)     PP  - Sweden,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-08-17 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: not forest,foreign language",,Sustainability;Library science;0640:Sustainability;0399:Library science,,
rayyan-397594221,"Improving Urban Resiliency through a Framework of Equitable Development in ""El Caño Martin Peña""",2022,,,ProQuest Dissertations and Theses,9798802743041,,29281922,79,"Vega Ramirez, Gustavo Andrés and Riorden, Elizabeth",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fimproving-urban-resiliency-through-framework%2Fdocview%2F2688171216%2Fse-2%3Faccountid%3D10246,English,University of Cincinnati     PP  - United States -- Ohio,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-07-15 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not temperate,wrong population",,Informal communities;Participatory housing;Bioclimatic infrastructure;Quinta Monroy;Red Vienna;Urban resiliency;Flooding;Architecture;Urban planning;Public administration;Climate change;Social structure;0700:Social structure;0999:Urban planning;0617:Public administration;0404:Climate Change;0729:Architecture,,
rayyan-397594222,Investigate the Thermal-Radiant Performance of Urban Green Infrastructure at the Pedestrian Level: An Experience in Hong Kong,2022,,,PQDT - Global,9798802755938,,29282521,231,"Ouyang, Wanlu and Chung, Wang Leung Thomas and Ng, Yan Yung",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Finvestigate-thermal-radiant-performance-urban%2Fdocview%2F2685705561%2Fse-2%3Faccountid%3D10246,English,The Chinese University of Hong Kong (Hong Kong)     PP  - Hong Kong,Ann Arbor,,"Copyright - Copyright ProQuest Dissertations Publishing 2022
Last updated - 2022-08-30 | RAYYAN-INCLUSION: {""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong outcome",,Thermal-radiant performance;Urban infrastructure;Green Infrastructure;Hong Kong;Pedestrian experience;Microclimate;Cooling effects;Outdoor thermal comfort;Numerical simulation;Thermodynamics;Architectural engineering;Urban planning;Civil engineering;Sustainability;Architecture;Climate change;0462:Architectural engineering;0348:Thermodynamics;0999:Urban planning;0543:Civil engineering;0640:Sustainability;0404:Climate Change;0729:Architecture,,
rayyan-397594223,Provisional Green Infrastructure in Indian Megacities: Assessing the Upscaling Potential of In-stream Interventions for Sustainable Urban Water Management ,2022,,,ProQuest Dissertations and Theses,9798438781073,,29275229,188,"Phillips, Daniel R. and Lindquist, Mark",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fprovisional-green-infrastructure-indian%2Fdocview%2F2685451965%2Fse-2%3Faccountid%3D10246,English,University of Michigan     PP  - United States -- Michigan,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-07-21 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not forest,wrong outcome,wrong population",,Wastewater;Stormwater;Informality;Nature based solutions;Water quality;Landscape architecture;Environmental engineering;Operations research;Urban planning;Sustainability;0999:Urban planning;0640:Sustainability;0775:Environmental engineering;0390:Landscape architecture;0796:Operations research;Megestrol Acetate,,
rayyan-397594226,"Rainfall Runoff Analysis of the Upper Lake Mary Watershed, Arizona",2022,,,ProQuest Dissertations and Theses,9798802707142,,29162227,158,"Davis, Javis and Springer, Abe",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Frainfall-runoff-analysis-upper-lake-mary%2Fdocview%2F2670066181%2Fse-2%3Faccountid%3D10246,English,Northern Arizona University     PP  - United States -- Arizona,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-06-03 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong population,not climate solution",,Forest treatment;Rainfall runoff;Upper Lake Mary;Watershed restoration;Hydrologic sciences;Environmental studies;0388:Hydrologic sciences;0477:Environmental Studies;Arizona,,
rayyan-397594227,"Integrating Remote Sensing, Behavior Modeling, and Machine Learning to Better Understand the Patterns and Drivers of Wildfire",2022,,,ProQuest Dissertations and Theses,9798438787358,,29068032,100,"DeCastro, A. L. and Balch, Jennifer K.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fintegrating-remote-sensing-behavior-modeling%2Fdocview%2F2668877649%2Fse-2%3Faccountid%3D10246,English,University of Colorado at Boulder     PP  - United States -- Colorado,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-06-01 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong population,not climate solution",,Behavior modeling;Fuels;Machine learning;Wildland fire;Environmental science;Remote sensing;Mathematics;0799:Remote sensing;0405:Mathematics;0768:Environmental science,,
rayyan-397594228,Environmental Influences on the Activity Patterns of Three Species of Semi-Free Ranging Lemurs at the Lemur Conservation Foundation’s Myakka City Lemur Reserve,2022,,,ProQuest Dissertations and Theses,9798426839793,,29166300,51,"Richardson, Abby and Light, Lydia",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fenvironmental-influences-on-activity-patterns%2Fdocview%2F2661138033%2Fse-2%3Faccountid%3D10246,English,The University of North Carolina at Charlotte     PP  - United States -- North Carolina,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-05-13 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: not forest,wrong population",,Accelerometers;Activity patterns;Cathemerality;Mongoose lemurs;Red ruffed lemurs;Ring tailed lemurs;Behavioral sciences;Ecology;Animal sciences;0602:Behavioral Sciences;0329:Ecology;0475:Animal sciences;Foundations,,
rayyan-397594229,Making the Rural Urban: Inter-Class Dynamics to Protect the Environment in the Colombian Countryside,2022,,,ProQuest Dissertations and Theses,9798426829541,,29062930,249,"Villamizar Santamaría, Sebastián and Zukin, Sharon",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fmaking-rural-urban-inter-class-dynamics-protect%2Fdocview%2F2656857752%2Fse-2%3Faccountid%3D10246,English,City University of New York     PP  - United States -- New York,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-19 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: not temperate,wrong outcome",,Class;Colombia;Environment;Rural gentrification;Urbanization;Sociology;Environmental studies;0626:Sociology;0477:Environmental Studies,,
rayyan-397594230,The Fate of Forests and Its Consequences for Ecosystem Services Provision in the Brazilian Atlantic Forest,2022,,,ProQuest Dissertations and Theses,9798426815568,,29162645,182,"Piffer, Pedro Ribeiro and Uriarte, María",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Ffate-forests-consequences-ecosystem-services%2Fdocview%2F2656233316%2Fse-2%3Faccountid%3D10246,English,Columbia University     PP  - United States -- New York,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-05-05 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not urban,not temperate,wrong outcome",,Brazilian Atlantic Forest;Natural ecosystem recovery;Ecosystem restoration scenarios;Ecology;Natural resource management;Land use planning;0329:Ecology;0536:Land Use Planning;0528:Natural Resource Management;Trees,,
rayyan-397594231,"Climate Adaptive Forest Management in the Northeastern US: Social and Ecological Motivations, Barriers, and Responses of Rural and Urban Foresters",2022,,,ProQuest Dissertations and Theses,9798426808485,,29069189,99,"McGann, Teresa and D'Amato, Anthony W.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fclimate-adaptive-forest-management-northeastern%2Fdocview%2F2653317939%2Fse-2%3Faccountid%3D10246,English,The University of Vermont and State Agricultural College     PP  - United States -- Vermont,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-04-30 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not outcome,wrong outcome",,Adaptation;Climate change;Forester;Northeast;Public opposition;Qualitative analysis;Forestry;Sociology;0626:Sociology;0478:Forestry;0404:Climate Change;Trees,,
