key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-879386187,Balancing demand and supply of multiple urban ecosystem services on different spatial scales,2016,12,,ECOSYSTEM SERVICES,2212-0416,22,,18-31,"Larondelle, Neele and Lauf, Steffen",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion...""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Urban ecosystem services;Demand and supply valuation;Budget;Multi-scale approach;Berlin,,
rayyan-879386188,"CitAgra: The Compact City with Integrated Agriculture and Ecology - 3RD WORLD MULTIDISCIPLINARY CIVIL ENGINEERING, ARCHITECTURE, URBAN PLANNING SYMPOSIUM (WMCAUS 2018)",2019,,,,1757-8981,471,,,"Jelenski, Tomasz",,English,IOP PUBLISHING LTD,"DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND",,"3rd World Multidisciplinary Civil Engineering, Architecture, Urban Planning Symposium (WMCAUS), Prague, CZECH REPUBLIC, JUN 18-22, 2018 | USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386189,Scaling-up nature-based solutions. Lessons from the Living Melbourne strategy,2020,11,,GEOFORUM,0016-7185,116,,63-72,"Fastenrath, Sebastian and Bush, Judy and Coenen, Lars",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Nature-based solutions;Urban governance;Scaling-up;Urban resilience;Sustainability transitions;urban greening,,
rayyan-879386190,"Native Trees as a Provider of Vital Urban Ecosystem Services in Urbanizing New Zealand: Status Quo, Challenges and Prospects",2022,1,,LAND,,11,1,,"Jang, Jihwi and Woo, Su-Young",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,tree diversity;ecosystem resilience;native tree;urban environment;urbanization;New Zealand,,
rayyan-879386191,"Modelling urban land change processes and patterns for climate change planning in the Durban metropolitan area, South Africa",2019,,,JOURNAL OF LAND USE SCIENCE,1747-423X,14,1,81-109,"Jagarnath, Meryl and Thambiran, Tirusha and Gebreslasie, Michael",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Land use;adaptation;mitigation;spatial planning;cities;future studies;South Africa,,
rayyan-879386192,"The Urban Forest and Ecosystem Services: Impacts on Urban Water, Heat, and Pollution Cycles at the Tree, Street, and City Scale",2016,1,,JOURNAL OF ENVIRONMENTAL QUALITY,0047-2425,45,1,119-124,"Livesley, S. J. and McPherson, G. M. and Calfapietra, C.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion, sounds like its an editorial intro""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Hot Temperature;Trees,,
rayyan-879386194,"Integration, synthesis and climate change adaptation: a narrative based on coastal wetlands at the regional scale",2012,9,,REGIONAL ENVIRONMENTAL CHANGE,1436-3798,12,3,581-593,"Burley, Jennifer G. and McAllister, Ryan R. J. and Collins, Kerry A. and Lovelock, Catherine E.",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Regional planning;Moreton bay;Sunshine coast;Gold coast;Governance;Brisbane;Mangroves;Salt marsh,,
rayyan-879386195,Why scale is vital to plan optimal Nature-Based Solutions for resilient cities,2021,4,,ENVIRONMENTAL RESEARCH LETTERS,1748-9326,16,4,,"Hutchins, M. G. and Fletcher, D. and Hagen-Zanker, A. and Jia, H. and Jones, L. and Li, H. and Loiselle, S. and Miller, J. and Reis, S. and Seifert-Dahnn, I and Wilde, V and Xu, C-Y and Yang, D. and Yu, J. and Yu, S.",,English,IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,nature-based solutions;urban;forest;socio-economy;multi-functional assessment;environmental quality,,
rayyan-879386197,The provision of ecosystem services in response to global change: Evidences and applications,2016,5,,ENVIRONMENTAL RESEARCH,0013-9351,147,,576-579,"Lafortezza, Raffaele and Chen, Jiquan",,English,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Ecosystem services;Global change;Environmental resources;Landscape-Scale modeling;Nature-Based Solutions,,
rayyan-879386198,BIOMONITORING URBAN AIR POLLUTION BY USING LICHENS IN THE GREEN SPACE OF THE UNIVERSITY CAMPUS IN OSIJEK (CROATIA),2016,,,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1311-5065,17,4,1269-1275,"Ozimec, S. and Florijancic, T. and Boskovic, I.",,English,SCIBULCOM LTD,"PO BOX 249, 1113 SOFIA, BULGARIA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,lichen;air pollution;university;Osijek;Croatia,,
rayyan-879386199,Concise and informative title: innovative geotextile materials for the extension of urban green space-contribution to urban sustainability,2014,3,,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1569-1705,13,1,5-9,"Bostenaru Dan, Maria",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion. confusing abstract.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Green walls;Living walls;Geotextiles;Natural hazards,,
rayyan-879386200,"Brief Analysis of Planning Approaches to the Reduction of Urban Carbon Emissions - SUSTAINABLE CITIES DEVELOPMENT AND ENVIRONMENT, PTS 1-3",2012,,,,1660-9336,209,1,1054+,"YongJun, Huo and Li, Pu and Wu, Zhao",,English,TRANS TECH PUBLICATIONS LTD,"KREUZSTRASSE 10, 8635 DURNTEN-ZURICH, SWITZERLAND",,"International Conference on Civil, Architectural and Hydraulic Engineering (ICCAHE 2012), Zhangjiajie, PEOPLES R CHINA, AUG 10-12, 2012 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,urban;carbon emissions;planning approaches,,
rayyan-879386201,Effects of road dust on the growth characteristics of Sophora japonica L. seedlings,2016,8,,JOURNAL OF ENVIRONMENTAL SCIENCES,1001-0742,46,,147-155,"Bao, Le and Qu, Laiye and Ma, Keming and Lin, Lin",,English,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Dust composition;Dust load;Dust grain size;Nitrogen;Biomass;Dust,,
rayyan-879386202,Implications of Urban Land Management on the Cooling Properties of Urban Trees: Citizen Science and Laboratory Analysis,2021,12,,SUSTAINABILITY,,13,24,,"Ngao, Jerome and Cardenas, Macarena L. and Ameglio, Thierry and Colin, Jerome and Saudreau, Marc",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""shannon.clarke""=>[""leaf traits might relate to carbon?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,leaf area;urban trees;modelling;urban heat island;nature-based solutions;cooling effect;citizen science;urban sustainability;Trees,,
rayyan-879386203,"Planning for low-carbon urban waterfront: discussion on the spatial morphology of waterfront based on carbon cycle theory - CIVIL, STRUCTURAL AND ENVIRONMENTAL ENGINEERING, PTS 1-4",2014,,,,1022-6680,838,,2999-3002,"Qian, Fang",,English,TRANS TECH PUBLICATIONS LTD,"LAUBLSRUTISTR 24, CH-8717 STAFA-ZURICH, SWITZERLAND",,"2nd Global Conference on Civil, Structural and Environmental Engineering (GCCSEE 2013), Shenzhen, PEOPLES R CHINA, SEP 28-29, 2013 | USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion? not sure if trees involved""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,Carbon cycle theory;urban waterfront;spatial morphology,,
rayyan-879386204,"Ecosystem services from urban forests: The case of Oslomarka, Norway",2021,10,,ECOSYSTEM SERVICES,2212-0416,51,,,"Berglihn, Elisabeth Cornelia and Gomez-Baggethun, Erik",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Ecosystem services;Urban forest;Oslomarka;Oslo;green infrastructure;nature-based solutions;Norway;Trees;Ecosystem,,
rayyan-879386205,A Guide to Public Green Space Planning for Urban Ecosystem Services,2020,10,,LAND,,9,10,,"Elderbrock, Evan and Enright, Chris and Lynch, Kathryn A. and Rempel, Alex and ra R.",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion. could be carbon storage from converting lawns?""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,green infrastructure;urban planning;LiDAR;NDVI;stakeholders;Delphi analysis,,
rayyan-879386206,A review of the adaptation and mitigation of global climate change using sustainable drainage in cities,2010,,,JOURNAL OF WATER AND CLIMATE CHANGE,2040-2244,1,3,165-180,"Charlesworth, S. M.",,English,IWA PUBLISHING,"ALLIANCE HOUSE, 12 CAXTON ST, LONDON SW1H0QS, ENGLAND",,"USER-NOTES: {""shannon.clarke""=>[""vegetated drainages? could have woody plants?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not forest management",,carbon sequestration and storage;flooding resilience;human health and well-being;mitigation and adaptation;sustainable drainage;urban heat island effect;Drainage,,
rayyan-879386207,The Role of Green Infrastructure in Enhancing Microclimate Conditions: A Case Study of a Low-Rise Neighborhood in Abu Dhabi,2021,4,,SUSTAINABILITY,,13,8,,"Abu Ali, Mahmoud and Alawadi, Khaled and Khanal, Asim",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""shannon.clarke""=>[""measured tree crown?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,urban heat island;nature-based solutions (NbS);urban trees and ENVI-met;microclimate;hot-arid zones;landscape design;citizen science;Abu Dhabi,,
rayyan-879386208,Adapting to climate change to sustain health,2011,3,,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,1757-7780,2,2,271-282,"Woodward, Alistair and Lindsay, Graeme and Singh, Sudhvir",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion. vague.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not climate solution",,"",,
rayyan-879386209,Comparative studies of urban climate co-benefits in Asian cities: an analysis of relationships between CO2 emissions and environmental indicators,2013,11,,JOURNAL OF CLEANER PRODUCTION,0959-6526,58,,15-24,"Lee, Taedong and van de Meene, Susan",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion; likely a review...""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not forest management",,Climate change mitigation;Co-benefits;Cities;Asia;Energy efficiency,,
rayyan-879386210,A conceptual framework for urban ecological restoration and rehabilitation,2021,5,,BASIC AND APPLIED ECOLOGY,1439-1791,52,,82-94,"Klaus, Valentin H. and Kiehl, Kathrin",,English,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion? discusses restoration and ecosystem services""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Urban ecosystem;Novel ecosystem;Hybrid ecosystem;Restoration target;Reference system;Urban grassland;Urban woodland;Urban greenspace;Native species;Biodiversity,,
rayyan-879386211,Effects of elevated ozone and water deficit on poplar saplings: Changes in carbon and nitrogen stocks and their allocation to different organs,2019,6,,FOREST ECOLOGY AND MANAGEMENT,0378-1127,441,,89-98,"Shang, Bo and Yuan, Xiangyang and Li, Pin and Xu, Yansen and Feng, Zhaozhong",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Carbon stock;Drought;Growth;Nitrogen stock;Ozone;Poplar,,
rayyan-879386212,IMPACT OF SIMULATED CLIMATE CHANGE ON SLUG GRAZING IN DESIGNED PLANT COMMUNITIES,2020,,,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,18,3,3835-3860,"Alizadeh, B. and Hitchmough, J. D.",,English,CORVINUS UNIV BUDAPEST,"VILLANYI UT 29/43, BUDAPEST, H-1118, HUNGARY",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion? not sure if urban?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,mollusc grazing;herbivory;meadow-like community;plant species fittness;urban landscape,,
rayyan-879386213,TREE APPRAISAL METHODS AND THEIR APPLICATION - FIRST RESULTS IN ONE OF BUDAPEST'S DISTRICTS,2011,,,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,9,4,411-423,"Hegedues, A. and Gaal, M. and Berces, R.",,English,CORVINUS UNIV BUDAPEST,"VILLANYI UT 29/43, BUDAPEST, H-1118, HUNGARY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,tree appraisal;Budapest;tree value calculation;Rado method;Parkanyi method,,
rayyan-879386214,"The thorny path toward greening: unintended consequences, trade-offs, and constraints in green and blue infrastructure planning, implementation, and management",2021,6,,ECOLOGY AND SOCIETY,1708-3087,26,2,,"Kronenberg, Jakub and Andersson, Erik and Barton, David N. and Borgstrom, Sara T. and Langemeyer, Johannes and Bjorklund, Tove and Haase, Dagmar and Kennedy, Christopher and Koprowska, Karolina and Laszkiewicz, Edyta and McPhearson, Timon and Stange, Erik E. and Wolff, Manuel",,English,RESILIENCE ALLIANCE,"ACADIA UNIV, BIOLOGY DEPT, WOLFVILLE, NS B0P 1X0, CANADA",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,environmental justice;trade-offs;unexpected outcomes;urban ecosystem services;urban green space,,
rayyan-879386215,The potential use of green infrastructure in the regeneration of brownfield sites: three case studies from Japan's Osaka Bay Area,2021,11,,LOCAL ENVIRONMENT,1354-9839,26,11,1346-1363,"Otsuka, Noriko and Abe, Hirokazu and Isehara, Yuto and Miyagawa, Tomoko",,English,"ROUTLEDGE JOURNALS, TAYLOR \& FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,green infrastructure;brownfield regeneration;post-industrial sites;Osaka Bay Area;green space;Japan;Regeneration,,
rayyan-879386216,"Prediction of Life Cycle Carbon Emissions of Sponge City Projects: A Case Study in Shanghai, China",2018,11,,SUSTAINABILITY,,10,11,,"Lin, Xiaohu and Ren, Jie and Xu, Jingcheng and Zheng, Tao and Cheng, Wei and Qiao, Junlian and Huang, Juwen and Li, Guangming",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,residential community;Sponge City;carbon emission accounting;life cycle assessment (LCA);low impact development (LID);urban sustainability;building sustainability;China,,
rayyan-879386217,"Low Carbon Community Planning Research-To Sun Xing village community for example - ADVANCED BUILDING MATERIALS, PTS 1-4",2011,,,,1022-6680,250,1,2700+,"Jiang, Xiujuan and Guo, Zhanjun",,English,TRANS TECH PUBLICATIONS LTD,"KREUZSTRASSE 10, 8635 DURNTEN-ZURICH, SWITZERLAND",,"1st International Conference on Civil Engineering, Architecture and Building Materials (CEABM 2011), Haikou, PEOPLES R CHINA, JUN 18-20, 2011 | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Low carbon;Low carbon community;Low carbon garden;Hollow village;Construction Materials,,
rayyan-879386218,Urban Horticulture: Future Scenarios - II INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE,2010,,,,0567-7572,881,,33-46,"Bisgrove, R.",,English,HUMANA PRESS INC,"999 RIVERVIEW DR, STE 208, TOTOWA, NJ 07512-1165 USA",,"2nd International Conference on Landscape and Urban Horticulture, Bologna, ITALY, JUN 09-13, 2009 | USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion?""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,community horticulture;ecosystem services;garden festivals;horticultural therapy;public parks;social horticulture;transition towns,,
rayyan-879386219,The dynamics and conservation of forest ecosystems in Bucharest Metropolitan Area,2017,10,,URBAN FORESTRY \& URBAN GREENING,1618-8667,27,,90-99,"Grigorescu, Ines and Geacu, Sorin",,English,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Forest ecosystems;Forest dynamics;Conservation;Bucharest Metropolitan Area;Romania;Trees,,
rayyan-879386220,110 Years of change in urban tree stocks and associated carbon storage,2014,4,,ECOLOGY AND EVOLUTION,2045-7758,4,8,1413-1422,"Diaz-Porras, Daniel F. and Gaston, Kevin J. and Evans, Karl L.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Carbon storage;ecosystem services;large trees;old trees;repeat photography;street trees;urban greening;urban tree planting;urbanization;Trees,,
rayyan-879386221,Exploring local consequences of two land-use alternatives for the supply of urban ecosystem services in Stockholm year 2050,2016,11,,ECOLOGICAL INDICATORS,1470-160X,70,,615-629,"Kain, Jaan-Henrik and Larondelle, Neele and Haase, Dagmar and Kaczorowska, Anna",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"USER-NOTES: {""shannon.clarke""=>[""tend towards incllusion?""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Urban land use;Urban planning;Urban ecosystem services;Land-use options;Service Providing Elements;Synergies and trade-offs,,
rayyan-879386222,Quantifying the Health Benefits of Urban Climate Mitigation Actions: Current State of the Epidemiological Evidence and Application in Health Impact Assessments,2021,,,FRONTIERS IN SUSTAINABLE CITIES,,3,,,"Castillo, Maria D. and Anenberg, Susan C. and Chafe, Zoe A. and Huxley, Rachel and Johnson, Lauren S. and Kheirbek, Iyad and Malik, Maha and Marshall, Julian D. and Naidoo, Seneca and Nelson, Margaret L. and Pendleton, V, Nicholas and Sun, Yuantong and D'Obrenan, Honorine van den Broek and Kinney, Patrick L.",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,climate action plans;urban health;green space;air quality;physical activity;noise exposure;health equity,,
rayyan-879386223,"Restorative design of urban brownfields, an interdisciplinary approach interconnecting nature-based solutions, heritage requalification and human wellbeing. A case study in Rome - PROCEEDINGS OF BUILDING SIMULATION 2019: 16TH CONFERENCE OF IBPSA",2020,,,,2522-2708,,,3445-3451,"Andreucci, Maria Beatrice and Cupelloni, Luciano and Paoli, Marco Delli and Coccolo, Silvia",,English,INT BUILDING PERFORMANCE SIMULATION ASSOC-IBPSA,"C/O MILLER-THOMPSON, 40 KING ST W, STE 5800, TORONTO, M5H 3S1, CANADA",,"16th Conference of the International-Building-Performance-Simulation-Association (IBPSA), Rome, ITALY, SEP 02-04, 2019 | USER-NOTES: {""shannon.clarke""=>[""tend towards inclusiion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Humanities;Humanism;Humans,,
rayyan-879386224,"Evaluating Urban Green Public Spaces: The Case Study of Krasnodar Region Cities, Russia",2021,12,,SUSTAINABILITY,,13,24,,"Danilina, Nina and Tsurenkova, Ksenia and Berkovich, Vladislav",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,green public spaces (GreenPS);sustainable urban design;urban planning,,
rayyan-879386225,"A Case Study Balancing Predetermined Targets and Real-World Constraints to Guide Optimum Urban Tree Canopy Cover for Perth, Western Australia",2020,11,,FORESTS,,11,11,,"Parker, Jackie and Simpson, Greg D.",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion?""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,urban greening;urban forest management;green infrastructure;urban resilience;nature-based solutions;Western Australia;Australia;Trees,,
rayyan-879386226,Urban Ecological Infrastructure: An inclusive concept for the non-built urban environment,2019,11,,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,2325-1026,7,,,"Childers, Daniel L. and Bois, Paul and Hartnett, Hilairy E. and McPhearson, Timon and Metson, Genevieve S. and Sanchez, Christopher A.",,English,UNIV CALIFORNIA PRESS,"155 GRAND AVE, SUITE 400, OAKLAND, CA 94612-3758 USA",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Urban Ecological Infrastructure;Ecosystem services;Hybrid infrastructure;Urban sustainability;Urban resilience,,
rayyan-879386227,Evaluation of the Cost of Ecosystem Services of Urban Landscapes (by the Example of Moscow),2021,12,,EURASIAN SOIL SCIENCE,1064-2293,54,12,1975-1986,"Semenyuk, O. V. and Stoma, G. V. and Bodrov, K. S.",,English,PLEIADES PUBLISHING INC,"PLEIADES HOUSE, 7 W 54 ST, NEW YORK,  NY, UNITED STATES",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,ecosystem services;functions of urban landscapes;ecological state of soils;Albic Retisols;Urbic Technosols;Albic Luvisols,,
rayyan-879386228,Rethinking `future nature' through a transatlantic research collaboration: climate-adapted urban green infrastructure for human wellbeing and biodiversity,,,,LANDSCAPE RESEARCH,0142-6397,,,,"Hoyle, Helen E. and Sant'Anna, Camila Gomes",,English,"ROUTLEDGE JOURNALS, TAYLOR \& FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Multifunctional green infrastructure;nature-based solutions;parks and greenspaces;planning and design;aesthetics;Humanities;Humanism;Humans,,
rayyan-879386229,Bringing Ecosystem Services into Economic Decision-Making: Land Use in the United Kingdom,2013,7,,SCIENCE,0036-8075,341,6141,45-50,"Bateman, Ian J. and Harwood, Amii R. and Mace, Georgina M. and Watson, Robert T. and Abson, David J. and Andrews, Barnaby and Binner, Amy and Crowe, Andrew and Day, Brett H. and Dugdale, Steve and Fezzi, Carlo and Foden, Jo and Hadley, David and Haines-Young, Roy and Hulme, Mark and Kontoleon, Andreas and Lovett, Andrew A. and Munday, Paul and Pascual, Unai and Paterson, James and Perino, Grischa and Sen, Antara and Siriwardena, Gavin and van Soest, Daan and Termansen, Mette",,English,AMER ASSOC ADVANCEMENT SCIENCE,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Decision Making;Great Britain,,
rayyan-879386230,Patterns of tree removal and canopy change on public and private land in the City of Melbourne,2020,5,,SUSTAINABLE CITIES AND SOCIETY,2210-6707,56,,,"Croeser, Thami and Ordonez, Camilo and Threlfall, Caragh and Kendal, Dave and van der Ree, Rodney and Callow, David and Livesley, Stephen J.",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion. tree cover change.""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Urban development;Urban forest;Mortality;Open data;Greenspace;Tree removal;UTC;Canopy loss;Green infrastructure;Nature-based solutions;Trees,,
rayyan-879386231,Development of a framework for the valuation of Eco-System Services of Green Infrastructure - 20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),2013,,,,,,,3155-3161,"Jayasooriya, V. M. and Ng, A. W. M.",,English,MODELLING \& SIMULATION SOC AUSTRALIA \& NEW ZEALAND INC,"MSSANZ, CHRISTCHURCH, 00000, NEW ZEALAND",,"20th International Congress on Modelling and Simulation (MODSIM), Adelaide, AUSTRALIA, DEC 01-06, 2013 | USER-NOTES: {""shannon.clarke""=>[""tend towards inclusion""]} | RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Green Infrastructure (GI);Eco-system Services (ESS);benefit valuation,,
