key,title,journal,authors,notes
rayyan-364025385,DISTRIBUTION OF NOCTURNAL FOREST BIRDS AND MAMMALS IN NORTH-EASTERN NEW-SOUTH-WALES - RELATIONSHIPS WITH ENVIRONMENTAL VARIABLES AND MANAGEMENT HISTORY,WILDLIFE RESEARCH,"KAVANAGH, RP and DEBUS, S and TWEEDIE, T and WEBSTER, T","USER-NOTES: {""Kayleigh""=>[""Not sure if this is urban, will tend towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025422,Floodplain forest loss and changes in forest community composition and structure in the Upper Mississippi river: A wildlife habitat at risk,NATURAL AREAS JOURNAL,"Knutson, MG and Klaas, EE","USER-NOTES: {""Kayleigh""=>[""Not clear if it will meet urban component- tended to inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success"
rayyan-364026164,Urbanizing the wild: shifts in bird communities associated to small human settlements,REVISTA MEXICANA DE BIODIVERSIDAD,"MacGregor-Fors, Ian and Schondube, Jorge E.","USER-NOTES: {""Kayleigh""=>[""Need to confirm level of urbanization""]} | RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025355,Post-fledging survival and dispersal of Peregrine Falcons during a restoration project,JOURNAL OF RAPTOR RESEARCH,"Powell, LA and Calvert, DJ and Barry, IM and Washburn, L","USER-NOTES: {""Kayleigh""=>[""Need more info tend towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025363,Microplastics accumulation in functional feeding guilds and functional habit groups of freshwater macrobenthic invertebrates: Novel insights in a riverine ecosystem,SCIENCE OF THE TOTAL ENVIRONMENT,"Bertoli, Marco and Pastorino, Paolo and Lesa, Davide and Renzi, Monia and Anselmi, Serena and Prearo, Marino and Pizzul, Elisabetta","USER-NOTES: {""Kayleigh""=>[""need more info on trees/urban component\n""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not bird success"
rayyan-364026337,"Isolation, patch size and matrix effects on bird assemblages in forest reserves",BIODIVERSITY AND CONSERVATION,"Monkkonen, Mikko and Rajasarkka, Ari and Lampila, Petri","USER-NOTES: {""Kayleigh""=>[""Need more info on the urban component.. tended to inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026190,"Three decades of avian research on the Bartlett Experimental Forest, New Hampshire, USA",FOREST ECOLOGY AND MANAGEMENT,"King, David I. and Yamasaki, Mariko and DeGraaf, Richard M. and Costello, Christine A.","USER-NOTES: {""Kayleigh""=>[""Need more info for urban component""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not primary"
rayyan-364025536,Breeding phenology of the Eastern Black Rail (Laterallus jamaicensis),WILSON JOURNAL OF ORNITHOLOGY,"Watts, Bryan D.","USER-NOTES: {""Kayleigh""=>[""need more info for urban component""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025338,Annual intake trends of a large urban animal rehabilitation centre in South Africa: a case study,ANIMAL WELFARE,"Wimberger, K. and Downs, C. T.","USER-NOTES: {""Kayleigh""=>[""Need more info for forest component and lat/long"", ""Article focuses on capturing a lay of the land for rehabilitation centres (e.g their needs, what's lacking, trends). Although birds are mentioned as a very common rehabilitation species there is no mention of trees or urban areas and it is never explicitly measured. Exclude. ""], ""Riikka""=>[""No forest component in the study, and not really about birds either. Exclude.""], ""Chloe""=>[""Not about birds or forest management. Exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success"
rayyan-364025540,Noise Source and Individual Physiology Mediate Effectiveness of Bird Songs Adjusted to Anthropogenic Noise,SCIENTIFIC REPORTS,"Curry, Claire M. and Des Brisay, Paulson G. and Rosa, Patricia and Koper, Nicola","USER-NOTES: {""Kayleigh""=>[""mention mitigation strategies.. could include trees""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364026242,Effects of low-density housing development on shrubland birds in western Massachusetts,LANDSCAPE AND URBAN PLANNING,"Schlossberg, Scott and King, David I. and Ch and ler, Richard B.","USER-NOTES: {""Kayleigh""=>[""may be below urban threshold, need to confirm\n""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025369,Behavioral response of canada geese to egg-oiling and nest removal,JOURNAL OF WILDLIFE MANAGEMENT,"Beaumont, Matthieu and Rodrigue, Jean and Pilotte, Catherine and Chalifour, Emilie and Giroux, Jean-Francois","USER-NOTES: {""Kayleigh""=>[""many references to nesting/habitat that could include forested areas. Need more info, tended to inclusion""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025330,The identification of wildlife-vehicle collision hotspots: Citizen science reveals spatial and temporal patterns,ECOLOGICAL PROCESSES,"Valerio, Francesco and Basile, Marco and Balestrieri, Rosario","USER-NOTES: {""Kayleigh""=>[""landcover gradients- could include trees"", ""Research does cover urban areas- as urban pixels were incorporated into results and collision mitigation. \n\nE.g. \""According to the map, major hotspots of wildlife-vehicle collisions are predicted in the surroundings of the main cities, where urban cover gradually decreases in favor of agricultural cover in the lowlands or forest in the mountain ranges.\""\n\nHowever, most of the results are focused on the 5 highest concern species (with most collisions) non of which are avian. And no recommendations are related to tree management. Suggest fencing etc. Exclude."", ""Agree to exclude. Includes some urban areas however, the research is not really about urban forest/areas. ""], ""Riikka""=>[""Not an urban study and no urban tree component. Exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025311,Urban noise and male density affect songs in the great tit Parus major,ETHOLOGY ECOLOGY \& EVOLUTION,"Hamao, S. and Watanabe, M. and Mori, Y.","USER-NOTES: {""Kayleigh""=>[""indirect outcomes for trees/noice, tended to inclusion"", ""Although urban parks are repeatedly mentioned throughout the paper they never explicitly mention trees or forest management and how it could impact birdsong or success\n- no sufficient outcomes related to trees or the urban forest\n- would tend to exclude this paper "", ""both agree to exclude. Details added to exclusion criteria.""], ""ericapadvaiskas""=>[""further reading needed to see if it includes urban forests ""], ""Riikka""=>[""I've added the papers to zotero, as could highlight there. Not sure if you can also see the full text there or only available to me?\n\nThe only takeaway here that is relevant is that noisier parks influence bird song. Article is not directly linked to forests or forest management. All parks had wooded areas (only mentioning of the trees), but it was not mentioned where in the park noise measurements were taken. Article also does not provide any recommendations for species success or conservation, only \""recommendations\"" are further study needed. I am leaning towards exclusion for this paper.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025324,Nest predation in Blackbirds (Turdus merula) and the influence of nest characteristics,ORNIS FENNICA,"Gregoire, A and Garnier, S and Dreano, N and Faivre, B","USER-NOTES: {""Kayleigh""=>[""important characteristic of nest exposire- forest related? need more info "", ""I'm not completely sure of this one. \n\nData was collected in an urban park and measure's nest availability and predation (proxy of success) in blackbird population. \n- many nesting sites are in urban trees (conifers, deciduous trees) however, the results are only indirectly related to tree management. \n\nOne relevant measure could be height of nest (in trees?). Still quite indirect. I think there's an argument here for noting nesting quality/preference for trees for blackbirds. In this case, trees are providing habitat? But no recommendations of tree care/planting/conservation really.."", ""Results and outcomes are too indirect. Require us to draw conlcusions based on results rather than author sythesyzing relating data to tree management. Exclude.""], ""ericapadvaiskas""=>[""Further reading is needed to see if forest management is involved ""], ""Riikka""=>[""Needs discussion. Done in an urban park and looked at plant species that acted as nest sites for blackbird, so could be used if wanted to encourage blackbird nesting for example, however, no direct tree management recommendations. ""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025315,Visions of nature: conflict and compatibility in urban park restoration,LANDSCAPE AND URBAN PLANNING,"Gobster, PH","USER-NOTES: {""Kayleigh""=>[""has implications for avian species, tended towards inclusion"", ""Bird conservation and restoration is highlight a few times within the text but is mostly targetted through one restoration plan \n\n- Urban forest and it's components are mentioned specifically throughout the text and more specifically through the \""Magic Hedge\"" which contains over 200 bird species \n- Research offers a good perspective on habitat restoration in urban areas with the context of design and human experience \n\nI think it would be difficult to extract data here as well since the avian component is not stated as any measurable form of success. Also, much of the information was collected through discussion with stakeholders..\n\nWould tend to inclusion but would need to iron out some points of what/how we could extract and ways to deal with this type of paper if we run into it again! Let's discuss :)"", ""Measures of bird success are incredibly indirect and vague- mention 200 species. Ask for Carly and Barbaras thoughts/comments on whether useful data could be extracted. Highly relevant work but possible too vague. ""], ""Riikka""=>[""By integrating the different visions held by different stakeholders/park users and protecting the icons/areas they see as most important park planners and landscape architects can gain cultural support that can help to sustain natural areas and important birding areas.  Results could be extended to other parks. I'm leaning towards inclusion here, but how to extract relevant information needs discussion as not a straightforward study.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025414,Multiple environmental factors and prey depletion determine declines in abundance and timing of departure in migratory shorebirds in the west coast of India,GLOBAL ECOLOGY AND CONSERVATION,"Aarif, K. M. and Nefla, Aymen and Nasser, M. and Prasadan, P. K. and Athira, T. R. and Bin Muzaffar, Sabir","USER-NOTES: {""Kayleigh""=>[""Could have trees as enviro factors.. tended to inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025341,Fitness costs as well as benefits are important when considering responses to anthropogenic noise,BEHAVIORAL ECOLOGY,"Read, Jade and Jones, Gareth and Radford, Andrew N.","USER-NOTES: {""Kayleigh""=>[""Could have outcomes/recommendations for tree management"", ""Review of existing literature. Wasn't clear from title that this was a review. Will have to re-label and go through references. Exclude as relevant review.""], ""Chloe""=>[""Not an empirical study conducted- I would exclude.""], ""Riikka""=>[""Review.Also not tree related. Exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025333,Elevated temperatures are associated with stress in rooftop-nesting Common Nighthawk (Chordeiles minor) chicks,CONSERVATION PHYSIOLOGY,"Newberry, Gretchen N. and Swanson, David L.","USER-NOTES: {""Kayleigh""=>[""could have outcomes for trees in urban areas.. natural woodlands are inaccesible and roofs becoming too hot"", ""No results related to urban forest or tree management. Would exclude"", ""Agree to exclude""], ""ericapadvaiskas""=>[""Further reading is needed to see if forest management is involved ""], ""Riikka""=>[""This study does not include urban forests or vegetation. Exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025329,Reproductive timing as a constraint on invasion success in the Ring-necked parakeet (Psittacula krameri),BIOLOGICAL INVASIONS,"Luna, Alvaro and Franz, Detlev and Strubbe, Diederik and Shwartz, Assaf and Braun, Michael P. and Hern and ez-Brito, Dailos and Malihi, Yariv and Kaplan, Asaf and Mori, Emiliano and Menchetti, Mattia and van Turnhout, Chris A. M. and Parrott, Dave and Chmielewski, Frank-M. and Edelaar, Pim","USER-NOTES: {""Kayleigh""=>[""could have outcomes for habitat and trees need more info"", ""Not primary research\n\n- data collected on climate rather than tree or urban forest component. Would exclude.""], ""ericapadvaiskas""=>[""Unclear if preformed in an urban setting ""], ""Riikka""=>[""Where data was collected was not clear, mentions cities but to know where from there would have to go through all the articles the data was collected from. But it is not an urban study really. Nor does it have a tree management component or any such recommendations. I would exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025493,Movement patterns of adult Interior Band-tailed Pigeons (Patagioenas fasciata) in New Mexico,WILSON JOURNAL OF ORNITHOLOGY,"Collins, Daniel P. and Carleton, Scott A. and Coxen, Christopher L.","USER-NOTES: {""Kayleigh""=>[""conservation and management mentioned.. need more info if includes forest/habitat management\n""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364026506,Grasslands provide diverse opportunities for bird species along an urban-rural gradient,URBAN ECOSYSTEMS,"Pithon, Josephine A. and Duflot, Remi and Beaujouan, Veronique and Jagaille, M. and Pain, Guillaume and Daniel, Herve","USER-NOTES: {""Kayleigh""=>[""Confirm whether components of urban forest are present.. tended to inclusion""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
