"Year","Journal","Country.Auth","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birddomain1","birddomain2","birddomain3","birddomain4","Rec.","Rec.1","Rec.2","Rec.3","Forest.comp","journal.count"
2010,"Polish Journal of Ecology","Poland","Poland","Multi-patch","2004","2004","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Individual tree management, Composition",2
2013,"Journal of the Faculty of Agriculture Kyushu University","South Korea","South Korea","Multi-patch","2006","2011","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Land use type, Composition",1
2018,"Iheringia","Brazil","Brazil","Multi-patch","2013","2013","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,"Canopy Cover, Composition",1
2021,"Urban Ecosystems","Brazil","Brazil","Patch","2016","2017","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Canopy Cover",1
2016,"Ecology and Evolution","Chile","Chile","Multi-city","2012","2012","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover",1
2011,"Emu-Austral Ornithology","Australia","Australia","Multi-patch","2008","2008","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Canopy Cover, Land use type",1
2020,"Emu-Austral Ornithology","New Zealand","New Zealand","Multi-patch","2016","2016","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Fragmentation, Composition, Canopy Cover",2
2021,"Landscape Ecology","United Kingdom","United Kingdom","Region","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Connectivity, Land use type",2
2005,"Ecography","Finalnd","Multiple (Finland, Italy, Spain)","Multi-city","2001","2001","Y","Survival","Breeding",NA,NA,"No","N/A",NA,NA,"Composition, Canopy Cover",1
2007,"Landscape and Urban Planning","USA ","USA","Multi-city","2002","2003","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Land use type",7
2009,"Landscape Research","United Kingdom","United Kingdom","Multi-patch","2005","2007","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Composition, Land use type",1
2008,"The Condor","USA","USA","Multi-patch","2004","2005","Y","Behaviour","Biodiversity",NA,NA,"No","N/A",NA,NA,"Land use type",7
2015,"Integrative and Comparative Biology","USA","USA","Multi-patch","2007","2008","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,"Land use type",1
2018,"Acta Oecologica","Taiwan","Taiwan","Multi-city","2013","2014","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition",1
2004,"Acta Oecologica","Czech Republic","Czech Republic","Multi-patch","2001","2002","Y","Behaviour","Biodiversity",NA,NA,"Yes","Management",NA,NA,"Composition",1
2008,"Landscape Ecology","United Kingdom","United Kingdom","Multi-patch","2003","2005","Y","Breeding","Biodiversity","Survival",NA,"Yes","Management",NA,NA,"Composition, Fragmentation, Canopy Cover",2
2010,"Biological Conservation","South Africa","South Africa","Patch","2008","2009","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Canopy Cover, Composition",1
2017,"The European Zoological Journal","Poland","Poland","Multi-patch","2002","2015","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,NA,1
2013,"Pakistan Journal of Zoology","China","China","Multi-patch","2004","2005","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Land use type",1
1997,"The Condor","Spain","Spain","Multi-patch","1992","1994","N","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,"Composition, Canopy Cover",1
2005,"The Condor","USA","USA","Multi-patch","2001","2001","Y","Biodiversity","Breeding",NA,NA,"Yes","Management",NA,NA,"Composition, Land use type",7
2011,"Diversity and Distributions","USA","USA","Patch","2009","2009","N","Biodiversity","Behaviour",NA,NA,"Yes","Management",NA,NA,"Composition, Land use type",2
2006,"The Auk","USA","USA","Patch","2001","2002","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Forested area, Land use type",4
2013,"The Wilson Journal of Ornithology","Canada","Canada","Patch","2006","2010","N","Survival",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Composition, Canopy Cover",1
2010,"Landscape and Ecological Engineering","South Korea","South Korea","Multi-patch","1999","2003","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Fragmentation, Forested area",2
2008,"Ornis Fennica","Finland","Finland","Patch","1976","2007","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Land use type",1
2013,"Journal of Animal Ecology","Australia","Australia","Multi-city","N/A","N/A","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Restoration","Management",NA,"Fragmentation, Canopy Cover",1
2020,"Frontiers in Ecology and Evolution","USA","USA","Region","2016","2016","Y","Behaviour","Survival",NA,NA,"No","N/A",NA,NA,"Canopy Cover, Forested Area",2
2016,"Urban Ecosystems","USA","USA","Patch","2004","2006","N","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,"Land use type",19
2002,"The Wilson Bulletin","USA","USA","Patch","1997","1997","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,"Forested area, Fragmentation",2
2014,"Landscape Ecology","Australia","Australia","Patch","2012","2012","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Fragmentation, Connectivity",2
2017,"Avian Conservation & Ecology","Japan","Japan","Patch","2014","2015","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Canopy Cover",1
2016,"Urban Forestry & Urban Greening","Japan","Japan","Patch","2011","2011","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Diversity metric, Canopy Cover",1
2007,"Landscape and Urban Planning","France","France ","Multi-patch","2004","2004","N","Biodiversity","Breeding",NA,NA,"Yes","Management",NA,NA,"Canopy Cover, Composition",1
2002,"Ecoscience","Spain","Spain","Patch","1998","1998","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Fragmentation",1
2010,"Forest Ecology and Management","Sweden","Sweden","Multi-city","2006","2008","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,"Composition, Forested Area, ",1
2015,"Urban Forestry & Urban Greening","China","China","Multi-patch","2012","2012","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Management",NA,NA,"Composition, Canopy cover, Forested area",6
2015,"Landscape and Urban Planning","Australia","Australia","Multi-patch","2008","2009","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Individual tree management ",6
2021,"Urban Forestry & Urban Greening","China","China","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Forested area",6
1987,"The Wilson Bulletin","USA","USA","Multi-patch","1953","1985","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area",2
2022,"Scientific Reports","Chile","Chile","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Canopy Cover, Forested area, Composition",1
2009,"Urban Ecosystems","USA","USA","Multi-patch","2000","2002","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Conservation",NA,NA,"Canopy Cover, Composition",19
2018,"Journal of Urban Ecology","Singapore","Italy","Patch","2017","2017","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Individual tree management",1
2017,"Ekológia","Ukraine","Ukraine","Patch","2016","2016","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Diversity metric",1
2011,"Pacific Conservation Biology","Australia","Australia","Patch","2003","2004","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,NA,2
2020,"Australian Zoologist","Australia","Australia","Patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",2
2019,"Journal of Urban Ecology","Australia","Australia","Multi-patch","2012","2012","N","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Management","Conservation","Restoration",NA,1
2018,"Urban Forestry & Urban Greening","China","China","Multi-patch","1987","2014","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,"Forested area, Land use type, Composition ",6
2013,"Landscape Ecology","Germany","Germany","Multi-patch","2007","2007","Y","Survival","Demographics/Patterns","Behaviour","Foraging","No","N/A",NA,NA,"Land use type, Forested Area",1
2009,"Ecology of cities and towns: A comparative approach. ","Australia","Australia","Multi-patch","1985","2000","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",1
2016,"Frontiers of Biology in China","China","China","Multi-patch","1997","1997","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,"Forested area",1
1986,"Urban Ecology","USA","USA","Multi-patch","1975","1979","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,"Composition",3
1991,"Landscape and Urban Planning","USA","USA","Multi-patch","1976","1980","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition",7
2018,"The Wilson Journal of Ornithology","USA","USA","Multi-patch","N/A","N/A","N","Behaviour",NA,NA,NA,"No","N/A",NA,NA,"Composition, Individual tree management, Diversity metric",3
1996,"Acta Ornithologica","Poland","Poland","Multi-patch","1991","1993","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover",2
1999,"Ecography","Australia","Australia","Patch","N/A","N/A","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,"Fragmentation, Land use type",1
1997,"Landscape and Urban Planning","USA ","USA","Patch","1993","1994","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,"Fragmentation, Land use type",7
2019,"Avian Conservation & Ecology","USA","USA","Multi-patch","2018","2018","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Forested area",1
2011,"Austral Ecology","Australia","Australia","Multi-patch","2008","2008","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Individual tree management, Composition",2
2005,"Wildlife Society Bulletin","USA","USA","Patch","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Diversity metric, Native species, Composition, Exotic/invasive species",3
2019,"Urban Forestry & Urban Greening","China","China","Patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Land use type",6
1980,"Environmental Management","USA","USA","Multi-patch","1976","1976","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover, Diversity metric ",1
2010,"Ecography","Spain","Spain","Patch","1998","1999","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Forested area, Canopy Cover",1
2021,"Ibis","USA","USA","Multi-patch","1997","2017","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,"Land use type, Composition",1
2017,"Urban Ecosystems","USA","USA","Multi-patch","2013","2015","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,"Canopy Cover, Composition, Land use type",19
2020,"Global Ecology and Conservation","China","China","Multi-patch","2018","2018","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Land use type",1
2010,"Conservation Biology","USA","USA","Multi-patch","2009","2009","Y","Behaviour","Demographics/Patterns",NA,NA,"No","N/A",NA,NA,"Forested area, Canopy cover",2
1992,"Ornis Fennica","Kenya","Poland","Patch","1980","1986","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition",2
2009,"The Wilson Journal of Ornithology","USA","USA","Patch","2006","2007","Y","Survival",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area",3
2013,"Wildlife Research","Australia","Australia","Multi-patch","1997","2011","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",1
2016,"Landscape and Ecological Engineering","South Korea","South Korea","Multi-patch","2000","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Connectivity, Forested area, Land use type",2
2004,"Ecological Applications","USA","USA","Multi-patch","2001","2002","Y","Survival",NA,NA,NA,"Yes","Management","Conservation",NA,"Exotic/invasive species, Land use type, Composition, Native species",5
2011,"The Auk","USA","USA","Multi-patch","2008","2008","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover, Composition",4
2016,"Landscape and Urban Planning","Australia","Australia","Multi-patch","2010","2013","Y","Survival","Breeding",NA,NA,"No","N/A",NA,NA,"Composition, Native species, Land use type",6
1999,"Biodiversity & Conservation","Japan","Japan","Multi-patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Composition, Land use type",1
2017,"Biologia","Poland","Poland","Patch","2014","2014","N","Survival",NA,NA,NA,"No","N/A",NA,NA,"Composition",1
2013,"The Auk","USA","USA","Multi-patch","2008","2009","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Land use type, Fragmentation",4
2014,"Austral Ecology","Australia ","Australia","Region","2008","2010","Y","Resources",NA,NA,NA,"No","N/A",NA,NA,"Land use type, Individual tree management ",2
2012,"Polish Journal of Ecology","South Korea","South Korea","Patch","N/A","N/A","Y","Breeding","Resources","Behaviour",NA,"No","N/A",NA,NA,"Land use type, Individual tree management, ",1
2016,"Urban Ecosystems","New Zealand","New Zealand","Patch","2012","2013","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Exotic/invasive species, Native species",1
1979,"Canadian Journal of Zoology","Canada","Canada","Multi-patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type, Composition",1
2015,"Urban Ecosystems","USA","USA","Patch","2011","2012","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type, Forested area",19
2006,"Urban Ecoystems","USA","USA","Multi-patch","2001","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type, Diversity metric, Composition",1
2020,"Journal of Urban Ecology","USA","USA","Multi-patch","2014","2016","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,"Land use type, Composition, Canopy Cover",2
1986,"Urban Ecology","USA","USA","Patch","1975","1979","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition",3
2020,"Journal of Urban Ecology","USA","USA","Multi-patch","2017","2017","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Composition",2
2007,"Landscape Ecological Applications in Man-Influenced Areas: Linking Man and Nature Systems","Japan","Japan","Patch","2002","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Connectivity, Canopy Cover",1
2011,"Journal of Environmental Studies","Iran","Iran","Patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Forested area",1
2015,"Alauda","Poland","Poland","Multi-patch","2008","2008","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition",1
2008,"The Canadian Field Naturalist","Canada","Canada","Multi-patch","2005","2007","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition",1
2018,"Bird Study","Spain","Spain","Patch","2014","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Composition, Land use type",1
2005,"Landscape and Urban Planning","Japan","Japan","Patch","2000","2000","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Canopy Cover, Forested area",2
2000,"Landscape and Urban Planning","South Korea","South Korea","Multi-patch","1992","1993","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management","Restoration","Composition, Fragmentation, Forested area",1
2014,"The Wilson Journal of Ornithology","USA/ Germany","USA","Patch","1860","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Canopy Cover",3
2019,"Animal Biodiversity and Conservation","Ireland","Spain","Patch","2014","2014","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Canopy Cover, Diversity metric",1
2010,"Biological Conservation","Australia ","Australia","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Land use type, Composition, Forested area",4
2003,"Canadian Field Naturalist","Canada","Canada","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Land use type",1
2014,"Landscape and Urban Planning","Israel","Israel","Patch","2008","2009","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Native species, Exotic/invasive species, Land use type",1
2018,"Proceedings of the National Academy of Sciences","USA","USA","Patch","2013","2014","N","Survival","Breeding","Resources",NA,"Yes","Management",NA,NA,"Exotic/invasive species, Native species",1
2020,"Urban Ecosystems","USA","USA","Multi-patch","2010","2012","N","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,"Exotic/invasive species, Native species, Composition",19
1994,"Journal of Zoology","Italy","Italy","Multi-patch","1986","1992","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,"Land use type, Fragmentation",1
2019,"Forests","Canada","South Korea","Multi-patch","2005","2011","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Composition, Forested area",1
2016,"Journal of Environmental Management","Australia ","Australia","Patch","2013","2013","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Composition, Diversity metric",1
2018,"Urban Forestry & Urban Greening","USA","USA","Patch","2011","2012","N","Behaviour","Biodiversity",NA,NA,"No","N/A",NA,NA,"Canopy Cover, Composition, Land use type",3
2021,"Sustainability","China","China","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Land use type, Fragmentation",1
