"Year","Journal","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birddomain1","birddomain2","birddomain3","birddomain4","Rec.","Rec.1","Rec.2","Rec.3","country.count"
2004,"Acta Ornithologica","Poland","Multi-patch","1997","2003","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,11
2008,"Journal of 
Animal Ecology","USA","Multi-patch","2001","2006","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,96
1993,"Bird Study","Multiple (14 countries)","Patch","1988","1989","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,1
2002,"Oecologia","Spain","Patch","1997","1998","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,11
2017,"Urban Ecosystems","USA","Multi-patch","1998","2010","Y","Biodiversity","Breeding",NA,NA,"Yes","Conservation",NA,NA,96
2006,"Area","Scotland","Patch","2004","2004","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,1
2017,"Transportation Research","India","Multi-patch","2016","2016","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,6
2015,"Urban Ecosystems","South Korea","Region","2012","2012","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,7
2013,"Urban Ecosystems","USA","Multi-patch","2007","2007","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2010,"Urban Ecosystems","United Kingdom","Region","1978","2006","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,7
2009,"Urban Forestry & Urban Greening","India","Patch","2006","2006","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,6
2022,"Urban Ecosystems","India","Multi-patch","2018","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,6
2014,"Avocetta","India","Patch","2007","2007","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,6
2022,"Proceedings of the Zoological Society","India","Multi-patch","2017","2018","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,6
2017,"Remote Sensing","France","Multi-patch","2009","2016","Y","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,6
2004,"Ornis Fennica","Poland","Patch","1997","2000","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
2011,"Journal of Wildlife Management","USA","Multi-patch","2008","2009","Y","Survival",NA,NA,NA,"Yes","Management",NA,NA,96
2008,"Urban Ecosystems","USA","Patch","2003","2004","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2012,"Urban Ecosystems","USA","Multi-patch","2009","2009","N","Breeding","Biodiversity",NA,NA,"No","N/A",NA,NA,96
2010,"Polish Journal of Ecology","Poland","Multi-patch","2004","2004","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,11
2013,"Journal of the Faculty of Agriculture Kyushu University","South Korea","Multi-patch","2006","2011","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,7
2018,"Iheringia. Série Zoologia","Brazil","Multi-patch","2013","2013","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,2
2021,"Urban Ecosystems","Brazil","Patch","2016","2017","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,2
2016,"Ecology and Evolution","Chile","Multi-city","2012","2012","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,2
2011,"Emu-Austral Ornithology","Australia","Multi-patch","2008","2008","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,38
2020,"Emu-Austral Ornithology","New Zealand","Multi-patch","2016","2016","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,4
2021,"Landscape Ecology","United Kingdom","Region","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,7
2005,"Ecography","Multiple (Finland, Italy, Spain)","Multi-city","2001","2001","Y","Survival","Breeding",NA,NA,"No","N/A",NA,NA,1
2007,"Landscape and Urban Planning","USA","Multi-city","2002","2003","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2009,"Landscape Research","United Kingdom","Multi-patch","2005","2007","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,7
2008,"The Condor","USA","Multi-patch","2004","2005","Y","Behaviour","Biodiversity",NA,NA,"No","N/A",NA,NA,96
2015,"Integrative and Comparative Biology","USA","Multi-patch","2007","2008","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,96
2018,"Acta Oecologica","Taiwan","Multi-city","2013","2014","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,1
2004,"Acta Oecologica","Czech Republic","Multi-patch","2001","2002","Y","Behaviour","Biodiversity",NA,NA,"Yes","Management",NA,NA,2
2008,"Landscape Ecology","United Kingdom","Multi-patch","2003","2005","Y","Breeding","Biodiversity","Survival",NA,"Yes","Management",NA,NA,7
2010,"Biological Conservation","South Africa","Patch","2008","2009","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,1
2017,"The European Zoological Journal","Poland","Multi-patch","2002","2015","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,11
2013,"Pakistan Journal of Zoology","China","Multi-patch","2004","2005","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,14
1997,"The Condor","Spain","Multi-patch","1992","1994","N","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,11
2005,"The Condor","USA","Multi-patch","2001","2001","Y","Biodiversity","Breeding",NA,NA,"Yes","Management",NA,NA,96
2011,"Diversity and Distributions","USA","Patch","2009","2009","N","Biodiversity","Behaviour",NA,NA,"Yes","Management",NA,NA,96
2006,"The Auk","USA","Patch","2001","2002","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2013,"The Wilson Journal of Ornithology","Canada","Patch","2006","2010","N","Survival",NA,NA,NA,"No","N/A",NA,NA,15
2010,"Landscape and Ecological Engineering","South Korea","Multi-patch","1999","2003","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,7
2008,"Ornis Fennica","Finland","Patch","1976","2007","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,2
2013,"Journal of Animal Ecology","Australia","Multi-city","N/A","N/A","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Restoration","Management",NA,38
2020,"Frontiers in Ecology and Evolution","USA","Region","2016","2016","Y","Behaviour","Survival",NA,NA,"No","N/A",NA,NA,96
2016,"Urban Ecosystems","USA","Patch","2004","2006","N","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,96
2002,"The Wilson Bulletin","USA","Patch","1997","1997","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,96
2014,"Landscape Ecology","Australia","Patch","2012","2012","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2017,"Avian Conservation & Ecology","Japan","Patch","2014","2015","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,9
2016,"Urban Forestry & Urban Greening","Japan","Patch","2011","2011","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,9
2007,"Landscape and Urban Planning","France ","Multi-patch","2004","2004","N","Biodiversity","Breeding",NA,NA,"Yes","Management",NA,NA,1
2002,"Ecoscience","Spain","Patch","1998","1998","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
2010,"Forest Ecology and Management","Sweden","Multi-city","2006","2008","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,3
2015,"Urban Forestry & Urban Greening","China","Multi-patch","2012","2012","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Management",NA,NA,14
2015,"Landscape and Urban Planning","Australia","Multi-patch","2008","2009","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2021,"Urban Forestry & Urban Greening","China","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,14
1987,"The Wilson Bulletin","USA","Multi-patch","1953","1985","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,96
2022,"Scientific Reports","Chile","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,2
2009,"Urban Ecosystems","USA","Multi-patch","2000","2002","Y","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Conservation",NA,NA,96
2018,"Journal of Urban Ecology","Italy","Patch","2017","2017","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,8
2017,"Ekológia (Bratislava)","Ukraine","Patch","2016","2016","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,1
2011,"Pacific Conservation Biology","Australia","Patch","2003","2004","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,38
2020,"Australian Zoologist","Australia","Patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2019,"Journal of Urban Ecology","Australia","Multi-patch","2012","2012","N","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Management","Conservation","Restoration",38
2018,"Urban Forestry & Urban Greening","China","Multi-patch","1987","2014","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,14
2013,"Landscape Ecology","Germany","Multi-patch","2007","2007","Y","Survival","Demographics/Patterns","Behaviour","Foraging","No","N/A",NA,NA,3
2009,"Ecology of cities and towns: A comparative approach. ","Australia","Multi-patch","1985","2000","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2016,"Frontiers of Biology in China","China","Multi-patch","1997","1997","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,14
1986,"Urban Ecology","USA","Multi-patch","1975","1979","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,96
1991,"Landscape and Urban Planning","USA","Multi-patch","1976","1980","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2018,"The Wilson Journal of Ornithology","USA","Multi-patch","N/A","N/A","N","Behaviour",NA,NA,NA,"No","N/A",NA,NA,96
1996,"Acta Ornithologica","Poland","Multi-patch","1991","1993","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
1999,"Ecography","Australia","Patch","N/A","N/A","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,38
1997,"Landscape and Urban Planning","USA","Patch","1993","1994","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,96
2019,"Avian Conservation & Ecology","USA","Multi-patch","2018","2018","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2011,"Austral Ecology","Australia","Multi-patch","2008","2008","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2005,"Wildlife Society Bulletin","USA","Patch","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2019,"Urban Forestry & Urban Greening","China","Patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,14
1980,"Environmental Management","USA","Multi-patch","1976","1976","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,96
2010,"Ecography","Spain","Patch","1998","1999","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2021,"Ibis","USA","Multi-patch","1997","2017","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,96
2017,"Urban Ecosystems","USA","Multi-patch","2013","2015","Y","Demographics/Patterns","Biodiversity",NA,NA,"No","N/A",NA,NA,96
2020,"Global Ecology and Conservation","China","Multi-patch","2018","2018","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,14
2010,"Conservation Biology","USA","Multi-patch","2009","2009","Y","Behaviour","Demographics/Patterns",NA,NA,"No","N/A",NA,NA,96
1992,"Ornis Fennica","Poland","Patch","1980","1986","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
2009,"The Wilson Journal of Ornithology","USA","Patch","2006","2007","Y","Survival",NA,NA,NA,"Yes","Conservation",NA,NA,96
2013,"Wildlife Research","Australia","Multi-patch","1997","2011","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,38
2016,"Landscape and Ecological Engineering","South Korea","Multi-patch","2000","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,7
2004,"Ecological Applications","USA","Multi-patch","2001","2002","Y","Survival",NA,NA,NA,"Yes","Management","Conservation",NA,96
2011,"The Auk","USA","Multi-patch","2008","2008","Y","Survival",NA,NA,NA,"No","N/A",NA,NA,96
2016,"Landscape and Urban Planning","Australia","Multi-patch","2010","2013","Y","Survival","Breeding",NA,NA,"No","N/A",NA,NA,38
1999,"Biodiversity & Conservation","Japan","Multi-patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,9
2017,"Biologia","Poland","Patch","2014","2014","N","Survival",NA,NA,NA,"No","N/A",NA,NA,11
2013,"The Auk","USA","Multi-patch","2008","2009","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2014,"Austral Ecology","Australia","Region","2008","2010","Y","Resources",NA,NA,NA,"No","N/A",NA,NA,38
2012,"Polish Journal of Ecology","South Korea","Patch","N/A","N/A","Y","Breeding","Resources","Behaviour",NA,"No","N/A",NA,NA,7
2016,"Urban Ecosystems","New Zealand","Patch","2012","2013","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,4
1979,"Canadian Journal of Zoology","Canada","Multi-patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,15
2015,"Urban Ecosystems","USA","Patch","2011","2012","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2006,"Urban Ecoystems","USA","Multi-patch","2001","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2020,"Journal of Urban Ecology","USA","Multi-patch","2014","2016","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,96
1986,"Urban Ecology","USA","Patch","1975","1979","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2020,"Journal of Urban Ecology","USA","Multi-patch","2017","2017","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,96
2007,"Landscape Ecological Applications in Man-Influenced Areas: Linking Man and Nature Systems","Japan","Patch","2002","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,9
2011,"Journal of Environmental Studies","Iran","Patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,1
2015,"Alauda","Poland","Multi-patch","2008","2008","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2008,"The Canadian Field Naturalist","Canada","Multi-patch","2005","2007","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,15
2018,"Bird Study","Spain","Patch","2014","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2005,"Landscape and Urban Planning","Japan","Patch","2000","2000","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,9
2000,"Landscape and Urban Planning","South Korea","Multi-patch","1992","1993","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management","Restoration",7
2014,"The Wilson Journal of Ornithology","USA","Patch","1860","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,96
2019,"Animal Biodiversity and Conservation","Spain","Patch","2014","2014","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2010,"Biological Conservation","Australia","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2003,"Canadian Field Naturalist","Canada","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,15
2014,"Landscape and Urban Planning","Israel","Patch","2008","2009","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2018,"Proceedings of the National Academy of Sciences","USA","Patch","2013","2014","N","Survival","Breeding","Resources",NA,"Yes","Management",NA,NA,96
2020,"Urban Ecosystems","USA","Multi-patch","2010","2012","N","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,96
1994,"Journal of Zoology","Italy","Multi-patch","1986","1992","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,8
2019,"Forests","South Korea","Multi-patch","2005","2011","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,7
2016,"Journal of Environmental Management","Australia","Patch","2013","2013","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2018,"Urban Forestry & Urban Greening","USA","Patch","2011","2012","N","Behaviour","Biodiversity",NA,NA,"No","N/A",NA,NA,96
2021,"Sustainability","China","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,14
2015,"Urban Forestry & Urban Greening","USA","Multi-patch","2005","2009","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2018,"Urban Ecosystems","Norway","Multi-patch","2003","2007","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,1
2016,"Landscape and Urban Planning","Australia","Multi-patch","2012","2013","N","Breeding","Biodiversity",NA,NA,"Yes","Management","Conservation",NA,38
2011,"Diversity and Distributions","USA","Multi-patch","2002","2006","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2018,"Urban Ecosystems","Australia","Patch","2014","2015","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2021,"Urban Ecosystems","Germany","Multi-patch","2017","2017","N","Breeding","Biodiversity","Survival","Behaviour","Yes","Management",NA,NA,3
2007,"Biological Conservation","Australia","Patch","2001","2003","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2013,"Landscape and Urban Planning","USA","Multi-patch","2005","2009","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2014,"Animal Cells and Systems","Korea","Multi-patch","2008","2009","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,2
2021,"Basic and Applied Ecology","Germany","Patch","2017","2018","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,3
2010,"The Condor","USA","Multi-patch","2004","2007","Y","Behaviour",NA,NA,NA,"Yes","Conservation","Restoration",NA,96
2013,"Landscape and Ecological Engineering","Korea","Multi-patch","2006","2006","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,2
2021,"Urban Forestry & Urban Greening","Poland","Patch","2015","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2001,"Conservation Biology","Australia","Patch","1995","1995","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,38
2012,"Conservation Letters","Australia","Patch","2010","2010","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2003,"Landscape and Urban Planning","USA","Multi-patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2006,"Ecoscience","France","Multi-patch","2003","2003","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,6
2001,"Landscape Ecology","Sweden","Patch","N/A","N/A","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,3
2012,"Landscape and Urban Planning","France","Multi-patch","2005","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,6
2014,"Urban Ecosystems","Canada","Multi-patch","2007","2009","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,15
2021,"Urban Forestry & Urban Greening","USA","Multi-patch","2014","2016","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2002,"Folia Zoologica","Slovakia","Patch","1992","1995","N","Breeding","Biodiversity",NA,NA,"Yes","Conservation","Management",NA,1
2008,"Biological Conservation","USA","Multi-patch","2002","2002","N","Biodiversity","Behaviour",NA,NA,"Yes","Conservation",NA,NA,96
2000,"Conservation Biology","Spain","Patch","1997","1998","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2014,"Ibis","United Kingdom","Patch","2003","2009","N","Breeding","Behaviour","Survival",NA,"Yes","Management",NA,NA,7
2015,"Biological Conservation","Australia","Multi-patch","2012","2013","Y","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2005,"Northeastern Naturalist","USA","Multi-patch","2001","2003","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,96
2010,"Landscape and Urban Planning","Japan","Multi-patch","2007","2007","N","Biodiversity","Behaviour",NA,NA,"Yes","Management",NA,NA,9
2000,"Ecological Research","Spain","Patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,11
2007,"Bird Study","United Kingdom","Multi-patch","2002","2004","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,7
2019,"Landscape and Urban Planning","Switzerland","Multi-patch","2004","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,2
2021,"Science of the Total Environment","Multiple (Greece, Finland)","Multi-patch","2016","2020","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2017,"Urban Forestry & Urban Greening","China","Patch","2016","2016","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,14
2020,"Landscape and Urban Planning","USA","Multi-patch","2002","2019","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2009,"Landscape and Urban Planning","Canada","Multi-patch","2006","2006","N","Breeding","Biodiversity",NA,NA,"Yes","Management","Restoration",NA,15
2017,"Journal of Applied Ecology","Australia","Multi-patch","2012","2013","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2018,"Avian Research","Austria","Multi-patch","2005","2017","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,3
2022,"Basic and Applied Ecology","China","Patch","2019","2020","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,14
2021,"Current Zoology","China","Patch","2019","2020","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Conservation",NA,NA,14
2020,"Avian Research","China","Patch","2019","2020","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Conservation",NA,NA,14
2005,"Urban Ecosystems","USA","Region","2002","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,96
2021,"Ecological Society of America","USA","Multi-city","2017","2018","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
