"Year","Journal","COUNTRY","Study.country","Urb.scale","Start.year","End.year","Comparator","birdcomp1","birdcomp2","birdcomp3","birdcomp4","Rec.","Rec.1","Rec.2","Rec.3","forest1","forest2","forest3","forest4","Year_count"
2011,"Ecology","USA","USA","Multi-patch",2006,2008,"Y","Breeding",NA,NA,NA,"No",NA,NA,NA,"Exotic/invasive species","Forested area",NA,NA,14
2008,"Landscape Ecology","USA","USA","Region",1999,2005,"N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area","Land use type",NA,NA,10
1995,"Environmental Management","Canada","Canada","Patch",1991,1991,"N","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management","Restoration",NA,"Land use type","Forested area",NA,NA,1
2009,"Ecosystems","Japan","Japan","Region",2005,2006,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Canopy cover",NA,NA,NA,12
2007,"Journal of Great Lakes Research","USA","USA","Multi-city",NA,NA,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Land use type",NA,NA,NA,9
2018,"Environmental Research","Portugal","Portugal","Patch",2015,2015,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",NA,NA,NA,22
2021,"Land","Australia","Australia","Patch",NA,NA,NA,"Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,"Canopy cover",NA,NA,NA,19
2019,"Waterbirds","India","India","Region",2017,2017,"Y","Breeding",NA,NA,NA,"Yes","Conservation",NA,NA,"Land use type",NA,NA,NA,9
2001,"Environmental Conservation","Spain","Spain","Multi-patch",1998,1998,"N","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,"Composition","Canopy cover","Forested area",NA,3
2004,"Acta Ornithologica","Poland","Poland","Multi-patch",1997,2003,"Y","Breeding","Survival",NA,NA,"No",NA,NA,NA,"Forested area","Composition","Individual tree management",NA,5
2010,"Urban Ecosystems","United Kingdom","United Kingdom","Region",1978,2006,"Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Forested area",NA,NA,NA,11
2022,"Urban Ecosystems","India","India","Multi-patch",2018,2019,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area","Canopy cover","Composition",NA,6
2020,"Emu-Austral Ornithology","New Zealand","New Zealand","Multi-patch",2016,2016,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area","Fragmentation","Composition","Canopy cover",14
1997,"The Condor","Spain","Spain","Multi-patch",1992,1994,"N","Biodiversity","Breeding",NA,NA,"No",NA,NA,NA,"Composition","Canopy cover",NA,NA,2
1987,"The Wilson Bulletin","USA","USA","Multi-patch",1953,1985,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area",NA,NA,NA,1
1991,"Landscape and Urban Planning","USA","USA","Multi-patch",1976,1980,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Composition",NA,NA,NA,1
1996,"Acta Ornithologica","Poland","Poland","Multi-patch",1991,1993,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Canopy cover",NA,NA,NA,1
1999,"Ecography","Australia","Australia","Patch",NA,NA,"Y","Survival",NA,NA,NA,"No",NA,NA,NA,"Fragmentation","Land use type",NA,NA,2
1980,"Environmental Management","USA","USA","Multi-patch",1976,1976,"Y","Demographics/Patterns",NA,NA,NA,"No",NA,NA,NA,"Canopy cover","Diversity metric",NA,NA,1
1992,"Ornis Fennica","Kenya","Poland","Patch",1980,1986,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Composition",NA,NA,NA,1
1979,"Canadian Journal of Zoology","Canada","Canada","Multi-patch",NA,NA,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type","Composition",NA,NA,1
2000,"Landscape and Urban Planning","South Korea","South Korea","Multi-patch",1992,1993,"N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management","Restoration","Composition","Fragmentation","Forested area",NA,3
1994,"Journal of Zoology","Italy","Italy","Multi-patch",1986,1992,"Y","Behaviour",NA,NA,NA,"No",NA,NA,NA,"Land use type","Fragmentation",NA,NA,1
1981,"Urban Ecology","USA","USA","Multi-patch",1972,1972,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area","Composition",NA,NA,1
1989,"Australian Journal of Ecology","Australia","Australia","Multi-patch",1982,1983,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Forested area","Land use type","Canopy cover",NA,1
1982,"The Condor","USA","United States","Patch",1976,1976,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Canopy cover","Composition",NA,NA,1
